City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
581,Dicabisagan,PH,78.98,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
582,Nioro,GM,81.57,broken clouds,13.35,-15.75,
585,Laem Sing,TH,82.15,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
586,Itarema,BR,76.95,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
589,College,US,77.0,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
592,Pacifica,US,76.23,overcast clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
602,Ahuimanu,US,83.91,clear sky,21.4447,-157.8378,Paradise Bay Resort
608,Cantaura,VE,84.6,overcast clouds,9.3057,-64.3584,Hotel Lorenzana
610,Aripuana,BR,82.81,broken clouds,-9.1667,-60.6333,
611,Muridke,PK,87.82,clear sky,31.8025,74.2617,Lahore Country Club
616,Jalu,LY,80.38,clear sky,29.0331,21.5482,صاحبة الفخامة
619,High Rock,BS,80.62,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
623,Cordenons,IT,75.07,broken clouds,45.9836,12.6949,Albergo Residence Italia Vintage Hotel
625,Upata,VE,75.2,scattered clouds,8.0086,-62.3989,Posada Villa Nela
626,Ponca City,US,84.22,few clouds,36.707,-97.0856,"Holiday Inn Express & Suites Ponca City, an IHG Hotel"
627,Funadhoo,MV,82.04,scattered clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
632,Sao Filipe,CV,75.24,clear sky,14.8961,-24.4956,Hotel Xaguate
636,Kayalpattinam,IN,82.74,overcast clouds,8.5667,78.1167,Mohamed Kasim Buhari
637,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
638,La Peca,PE,77.67,light rain,-5.6111,-78.435,Hospedaje San Miguelito
642,Southbridge,US,77.63,broken clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
648,Rio Blanco,MX,76.06,broken clouds,18.8333,-97.15,HOTEL L'ORBE EN ORIZABA
654,Bosaso,SO,87.96,broken clouds,11.2842,49.1816,Red Sea Hotel
657,Palmer,US,80.2,broken clouds,42.1584,-72.3287,Wedgewood Motel
659,Sao Miguel Do Araguaia,BR,78.8,few clouds,-13.275,-50.1628,Hotel Executivo Palace
662,Zhangzhou,CN,76.6,broken clouds,24.5133,117.6556,Crowne Plaza Zhangzhou
666,Laguna,US,81.01,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
672,Banjar,ID,76.37,few clouds,-8.19,114.9675,The Hamsa Resort
673,Avera,US,85.55,broken clouds,33.194,-82.5271,
674,Ca Mau,VN,76.82,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
675,San Francisco,US,75.45,overcast clouds,37.7749,-122.4194,Edwardian Hotel
679,Pangai,TO,77.79,clear sky,-19.8,-174.35,Ha'apai Beach Resort
681,Qui Nhon,VN,79.14,few clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
685,Lagos,NG,79.61,overcast clouds,6.5833,3.75,
