WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
513,Mitchell,US,43.7094,-98.0298,71.58,68,75,8.05,broken clouds
514,Tautira,PF,-17.7333,-149.15,78.85,77,21,12.37,light rain
515,Tromso,NO,69.6496,18.957,50.02,66,100,8.05,overcast clouds
516,Tongren,CN,27.7172,109.1853,74.34,98,72,2.08,moderate rain
517,Leh,IN,34.1667,77.5833,47.26,51,26,5.32,scattered clouds
518,Milton,US,34.1322,-84.3007,86.2,48,24,1.99,few clouds
519,Leshukonskoye,RU,64.8989,45.7622,51.55,90,16,3.15,few clouds
520,Kaka,TM,37.3482,59.6143,77.38,15,1,5.86,clear sky
521,Finschhafen,PG,-6.6024,147.8681,80.58,79,30,5.77,scattered clouds
522,Esso,RU,55.9333,158.7,53.94,62,23,3.65,few clouds
523,Pevek,RU,69.7008,170.3133,30.99,95,100,9.13,light snow
524,Hell,NO,63.4455,10.9033,51.71,66,100,17.27,overcast clouds
525,West Bay,KY,19.3667,-81.4167,86.07,77,20,12.66,few clouds
526,Cap Malheureux,MU,-19.9842,57.6142,72.46,74,86,4.0,overcast clouds
527,Gorom-Gorom,BF,14.4439,-0.2361,93.13,26,24,14.12,few clouds
528,Puerto Maldonado,PE,-12.6,-69.1833,72.0,83,75,2.3,broken clouds
529,Along,IN,28.1667,94.7667,73.26,98,95,1.12,overcast clouds
530,Westlock,CA,54.1502,-113.8688,71.11,52,100,14.03,overcast clouds
531,Stonewall,CA,50.1344,-97.3268,65.68,59,35,7.94,scattered clouds
532,Parambu,BR,-6.2111,-40.6944,73.62,84,99,4.88,overcast clouds
533,Louviers,FR,49.2167,1.1667,64.2,91,0,6.91,clear sky
534,Hay River,CA,60.8156,-115.7999,67.87,32,15,8.61,few clouds
535,Tampere,FI,61.4991,23.7871,54.16,67,0,9.22,clear sky
536,Tando Muhammad Khan,PK,25.123,68.5358,80.51,78,0,17.69,clear sky
537,Northam,GB,51.0333,-4.2167,60.26,79,100,13.98,overcast clouds
538,Hami,CN,42.8,93.45,72.21,12,19,9.13,few clouds
539,Llanes,ES,43.4198,-4.7549,61.47,91,78,6.82,broken clouds
540,Kuching,MY,1.55,110.3333,75.42,100,40,3.44,light rain
541,Kuhdasht,IR,33.535,47.6061,77.07,21,14,8.99,few clouds
542,Hwange,ZW,-18.3693,26.5019,57.67,51,3,4.12,clear sky
543,Shubarshi,KZ,48.5872,57.1869,66.97,56,3,6.71,clear sky
544,Lander,US,42.833,-108.7307,73.8,40,75,14.97,broken clouds
545,Alexandria,EG,31.2156,29.9553,73.47,78,0,5.61,clear sky
546,Vostok,RU,46.4856,135.8833,43.93,78,12,3.18,few clouds
547,Sampit,ID,-2.5333,112.95,72.59,99,54,1.79,broken clouds
548,Klyuchi,RU,52.2667,79.1667,49.84,36,100,9.31,overcast clouds
549,Paratinga,BR,-12.6906,-43.1842,80.24,34,35,9.73,scattered clouds
550,Axim,GH,4.8699,-2.2405,78.96,86,100,7.54,overcast clouds
551,Thessalon,CA,46.2501,-83.5666,64.69,60,58,14.23,broken clouds
552,Saint-Francois,FR,46.4154,3.9054,69.24,88,75,14.97,broken clouds
553,Byron Bay,AU,-28.65,153.6167,53.94,72,100,2.21,overcast clouds
554,Katsuura,JP,35.1333,140.3,68.67,73,100,8.16,overcast clouds
555,Kalmunai,LK,7.4167,81.8167,77.86,82,100,8.81,overcast clouds
556,Gornopravdinsk,RU,60.05,69.9,32.09,70,7,5.19,clear sky
557,Bandarbeyla,SO,9.4942,50.8122,78.93,80,18,20.18,few clouds
558,Camopi,GF,3.1655,-52.3158,73.27,97,100,2.35,overcast clouds
559,Hovd,MN,48.0056,91.6419,55.69,33,100,8.25,overcast clouds
560,Marzuq,YE,14.4,46.4667,75.04,57,49,4.23,scattered clouds
561,Melfort,CA,52.8667,-104.6177,63.23,41,3,6.22,clear sky
562,Heiligenhafen,DE,54.3667,10.9833,52.05,80,0,4.43,clear sky
563,Lupiro,TZ,-8.3833,36.6667,69.84,61,82,2.8,broken clouds
564,Amot,NO,59.5714,7.9877,48.85,62,69,5.03,broken clouds
565,Caxias,PT,38.7031,-9.2767,66.45,78,20,10.36,few clouds
566,Denpasar,ID,-8.65,115.2167,78.46,94,40,4.61,scattered clouds
567,Mao,ES,39.8885,4.2658,70.36,94,40,13.8,scattered clouds
568,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,68,20,17.27,few clouds
569,Carutapera,BR,-1.195,-46.02,76.28,90,99,4.9,overcast clouds
570,Tomatlan,MX,19.9333,-105.25,85.23,54,8,10.8,clear sky
571,Skarnes,NO,60.2528,11.6797,58.01,83,100,3.65,overcast clouds
572,Ilorin,NG,8.5,4.55,76.98,82,97,10.07,overcast clouds
573,Wasilla,US,61.5814,-149.4394,77.67,37,0,5.75,clear sky
574,Pastavy,BY,55.1168,26.8326,49.8,93,0,4.92,clear sky
575,Iskateley,RU,67.6803,53.1512,44.83,43,0,11.81,clear sky
576,Iseyin,NG,7.9667,3.6,74.8,89,94,7.27,overcast clouds
577,Khash,IR,28.2211,61.2158,68.13,22,0,4.92,clear sky
578,Vardo,NO,70.3705,31.1107,44.58,100,100,11.5,overcast clouds
579,Valparaiso,CL,-33.0393,-71.6273,60.44,82,100,6.91,light rain
580,Korla,CN,41.7597,86.1469,69.06,30,34,11.41,scattered clouds
581,Dicabisagan,PH,17.0818,122.4157,78.98,88,97,5.93,overcast clouds
582,Nioro,GM,13.35,-15.75,81.57,63,67,13.24,broken clouds
583,Toowoomba,AU,-27.55,151.9667,42.26,95,38,1.83,scattered clouds
584,Vila Velha,BR,-20.3297,-40.2925,69.75,88,75,12.66,broken clouds
585,Laem Sing,TH,12.4816,102.0738,82.15,100,99,6.71,overcast clouds
586,Itarema,BR,-2.9248,-39.9167,76.95,83,34,6.44,scattered clouds
587,Batagay,RU,67.6333,134.6333,69.58,39,15,8.1,few clouds
588,Melilla,ES,35.2937,-2.9383,73.78,40,0,12.66,clear sky
589,College,US,64.8569,-147.8028,77.0,31,75,8.05,broken clouds
590,Glazov,RU,58.1394,52.6584,51.66,98,58,4.29,broken clouds
591,Pringsewu,ID,-5.3582,104.9744,72.14,97,91,3.18,overcast clouds
592,Pacifica,US,37.6138,-122.4869,76.23,52,100,6.91,overcast clouds
593,Kisesa,TZ,-3.0833,34.15,63.99,55,72,8.72,broken clouds
594,Opuwo,NA,-18.0607,13.84,57.61,38,11,7.9,few clouds
595,Chandur,IN,19.7333,79.1833,93.54,27,87,5.57,overcast clouds
596,Daryapur,IN,20.9333,77.3333,93.15,21,71,10.69,broken clouds
597,Lavrentiya,RU,65.5833,-171.0,42.51,77,75,8.16,broken clouds
598,Guanambi,BR,-14.2233,-42.7814,72.7,63,9,7.25,clear sky
599,Willmar,US,45.1219,-95.0433,73.58,43,40,5.75,scattered clouds
600,Shu,KZ,43.5983,73.7614,59.36,56,0,11.27,clear sky
601,Deniliquin,AU,-35.5333,144.9667,50.22,72,56,18.92,broken clouds
602,Ahuimanu,US,21.4447,-157.8378,83.91,53,0,10.36,clear sky
603,Wanganui,NZ,-39.9333,175.05,47.59,70,96,5.01,overcast clouds
604,Darlawn,IN,24.0167,92.9,67.33,99,99,1.07,overcast clouds
605,Lipin Bor,RU,60.2622,37.9763,46.08,93,8,4.27,clear sky
606,Grindavik,IS,63.8424,-22.4338,47.89,76,0,9.22,clear sky
607,Nizhniy Tsasuchey,RU,50.5167,115.1333,53.98,85,100,12.93,light rain
608,Cantaura,VE,9.3057,-64.3584,84.6,55,100,9.84,overcast clouds
609,Yei,SS,4.095,30.6779,70.12,62,18,4.61,few clouds
610,Aripuana,BR,-9.1667,-60.6333,82.81,50,72,1.68,broken clouds
611,Muridke,PK,31.8025,74.2617,87.82,9,1,3.69,clear sky
612,Grand Gaube,MU,-20.0064,57.6608,72.37,74,86,4.0,overcast clouds
613,Inverell,AU,-29.7833,151.1167,43.66,98,93,1.63,overcast clouds
614,Quimper,FR,48.0,-4.1,59.58,88,100,6.91,overcast clouds
615,Cabinda,AO,-5.55,12.2,73.11,94,75,2.8,broken clouds
616,Jalu,LY,29.0331,21.5482,80.38,44,0,13.09,clear sky
617,Manono,CD,-7.3,27.4167,70.12,46,70,3.69,broken clouds
618,Talcahuano,CL,-36.7167,-73.1167,56.88,94,100,23.02,light rain
619,High Rock,BS,26.6208,-78.2833,80.62,88,100,30.24,overcast clouds
620,Mehamn,NO,71.0357,27.8492,46.35,100,100,1.14,fog
621,Hastings,GB,50.8552,0.5729,57.79,90,100,19.1,overcast clouds
622,Rio Gallegos,AR,-51.6226,-69.2181,34.66,71,43,14.2,scattered clouds
623,Cordenons,IT,45.9836,12.6949,75.07,81,62,3.85,broken clouds
624,Araouane,ML,18.9048,-3.5265,95.07,18,37,5.88,scattered clouds
625,Upata,VE,8.0086,-62.3989,75.2,91,31,4.14,scattered clouds
626,Ponca City,US,36.707,-97.0856,84.22,58,20,10.36,few clouds
627,Funadhoo,MV,6.15,73.2667,82.04,79,41,15.84,scattered clouds
628,Severiano Melo,BR,-5.7772,-37.9578,73.56,93,90,5.57,overcast clouds
629,Barguzin,RU,53.6167,109.6167,54.21,89,100,5.17,overcast clouds
630,Gao,ML,16.6362,1.637,91.99,7,0,7.9,clear sky
631,Gracac,HR,44.3006,15.8547,62.35,64,67,2.51,broken clouds
632,Sao Filipe,CV,14.8961,-24.4956,75.24,74,3,9.62,clear sky
633,Uige,AO,-7.6087,15.0613,65.88,49,8,3.91,clear sky
634,Kingman,US,35.1894,-114.053,91.65,7,0,24.16,clear sky
635,Olafsvik,IS,64.8945,-23.7142,44.74,70,5,10.04,clear sky
636,Kayalpattinam,IN,8.5667,78.1167,82.74,75,100,8.86,overcast clouds
